"No.","Time","Source","Destination","Protocol","Length","Info"
"10101","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10102","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10103","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10104","0.000000000","142.250.195.142","118.138.122.172","QUIC","1288","Protected Payload (KP0)"
"10105","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10106","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10107","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10108","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10109","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10110","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10111","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10112","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10113","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10114","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1503447 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10117]"
"10115","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1504697 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10117]"
"10116","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1505947 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10117]"
"10117","0.000000000","3.163.189.78","118.138.122.172","TLSv1.3","1304","Application Data"
"10118","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [PSH, ACK] Seq=1508447 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10124]"
"10119","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1509697 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10124]"
"10120","0.000000000","142.250.207.14","118.138.122.172","UDP","68","443  >  59387 Len=26"
"10121","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10122","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1510947 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10124]"
"10123","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10124","0.000000000","3.163.189.78","118.138.122.172","TLSv1.3","1304","Application Data"
"10125","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1513447 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10126]"
"10126","0.000000000","3.163.189.78","118.138.122.172","TLSv1.3","1304","Application Data"
"10127","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1515947 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10129]"
"10128","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10129","0.000000000","3.163.189.78","118.138.122.172","TLSv1.3","1304","Application Data"
"10130","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10131","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1518447 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10135]"
"10132","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10133","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1519697 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10135]"
"10134","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10135","0.000000000","3.163.189.78","118.138.122.172","TLSv1.3","1304","Application Data"
"10136","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10137","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1522197 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10167]"
"10138","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10139","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1523447 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10167]"
"10140","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10141","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10142","0.000423100","118.138.122.172","3.163.189.78","TCP","54","42147  >  443 [ACK] Seq=4052 Ack=1510947 Win=2096896 Len=0"
"10143","0.000266900","118.138.122.172","3.163.189.78","TCP","54","42147  >  443 [ACK] Seq=4052 Ack=1524697 Win=2096896 Len=0"
"10144","0.000514100","118.138.122.172","142.250.195.142","QUIC","74","Protected Payload (KP0), DCID=ed814b963f91763d"
"10145","0.000614800","118.138.122.172","142.250.195.142","QUIC","78","Protected Payload (KP0), DCID=ed814b963f91763d"
"10146","0.000329300","118.138.122.172","142.250.195.142","QUIC","75","Protected Payload (KP0), DCID=ed814b963f91763d"
"10147","0.000446900","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1524697 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10167]"
"10148","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10149","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1525947 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10167]"
"10150","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10151","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [PSH, ACK] Seq=1527197 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10167]"
"10152","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
